Date,LTCM_Net,USGG10YR,USGG10YR_lag,USGG10YR_Change,USGG10YR_Change_lag,BAA10YM,BAA10YM_lag,BAA10YM_Change,BAA10YM_Change_lag,AAA10YM,AAA10YM_lag,AAA10YM_Change,AAA10YM_Change_lag,SPX_adj,SPX_adj_lag,SPX_adj_Change,SPX_adj_Change_lag,DXY_adj,DXY_adj_lag,DXY_adj_Change,DXY_adj_Change_lag,MSCI_W,MSCI_W_lag,MSCI_W_Change,MSCI_W_Change_lag,VIX,VIX_lag,VIX_Change,VIX_Change_lag,rtrn
4/29/1994,0.008,7.042,6.738,0.0451,0.0994,1.44,1.55,-0.071,-0.0606,0.81,0.91,-0.1099,-0.09,456.5,450.910004,0.0124,0.0115,92.519997,92.120003,0.0043,-0.0101,617.299,599.737,0.0293,-0.0447,13.03,13.77,-0.053740015,-0.3266504,1
5/31/1994,0.053,7.147,7.042,0.0149,0.0451,1.55,1.44,0.0764,-0.071,0.87,0.81,0.0741,-0.1099,444.269989,456.5,-0.0268,0.0124,89.620003,92.519997,-0.0313,0.0043,617.906,617.299,0.001,0.0293,14.97,13.03,0.148887183,-0.053740015,1
6/30/1994,-0.029,7.32,7.147,0.0242,0.0149,1.5,1.55,-0.0323,0.0764,0.81,0.87,-0.069,0.0741,458.26001,444.269989,0.0315,-0.0268,89.870003,89.620003,0.0028,-0.0313,615.194,617.906,-0.0044,0.001,11.13,14.97,-0.256513026,0.148887183,0
7/29/1994,0.084,7.111,7.32,-0.0286,0.0242,1.5,1.5,0,-0.0323,0.83,0.81,0.0247,-0.069,475.48999,458.26001,0.0376,0.0315,89.669998,89.870003,-0.0022,0.0028,625.894,615.194,0.0174,-0.0044,11.97,11.13,0.075471698,-0.256513026,1
8/31/1994,0.03,7.173,7.111,0.0087,-0.0286,1.52,1.5,0.0133,0,0.88,0.83,0.0602,0.0247,462.709991,475.48999,-0.0269,0.0376,87.879997,89.669998,-0.02,-0.0022,643.738,625.894,0.0285,0.0174,14.28,11.97,0.192982456,0.075471698,1
9/30/1994,-0.003,7.603,7.173,0.0599,0.0087,1.46,1.52,-0.0395,0.0133,0.83,0.88,-0.0568,0.0602,472.350006,462.709991,0.0208,-0.0269,85.690002,87.879997,-0.0249,-0.02,625.806,643.738,-0.0279,0.0285,14.56,14.28,0.019607843,0.192982456,0
10/31/1994,0.004,7.807,7.603,0.0268,0.0599,1.36,1.46,-0.0685,-0.0395,0.72,0.83,-0.1325,-0.0568,453.690002,472.350006,-0.0395,0.0208,89.129997,85.690002,0.0401,-0.0249,642.57,625.806,0.0268,-0.0279,15.95,14.56,0.095467033,0.019607843,1
11/30/1994,0.061,7.906,7.807,0.0127,0.0268,1.29,1.36,-0.0515,-0.0685,0.65,0.72,-0.0972,-0.1325,459.269989,453.690002,0.0123,-0.0395,88.730003,89.129997,-0.0045,0.0401,613.676,642.57,-0.045,0.0268,13.2,15.95,-0.172413793,0.095467033,1
12/30/1994,-0.005,7.822,7.906,-0.0106,0.0127,1.3,1.29,0.0078,-0.0515,0.68,0.65,0.0462,-0.0972,470.420013,459.269989,0.0243,0.0123,87.989998,88.730003,-0.0083,-0.0045,618.59,613.676,0.008,-0.045,11.96,13.2,-0.093939394,-0.172413793,0
1/31/1995,0.045,7.581,7.822,-0.0308,-0.0106,1.38,1.3,0.0615,0.0078,0.79,0.68,0.1618,0.0462,487.390015,470.420013,0.0361,0.0243,85.93,87.989998,-0.0234,-0.0083,608.263,618.59,-0.0167,0.008,11.75,11.96,-0.017558528,-0.093939394,1
2/28/1995,-0.006,7.201,7.581,-0.0501,-0.0308,1.5,1.38,0.087,0.0615,0.92,0.79,0.1646,0.1618,500.709991,487.390015,0.0273,0.0361,81.900002,85.93,-0.0469,-0.0234,616.074,608.263,0.0128,-0.0167,13.37,11.75,0.13787234,-0.017558528,0
3/31/1995,0.025,7.196,7.201,-0.0007,-0.0501,1.54,1.5,0.0267,0.087,0.97,0.92,0.0543,0.1646,514.710022,500.709991,0.028,0.0273,81.800003,81.900002,-0.0012,-0.0469,644.674,616.074,0.0464,0.0128,11.75,13.37,-0.121166791,0.13787234,1
4/28/1995,0.017,7.055,7.196,-0.0196,-0.0007,1.57,1.54,0.0195,0.0267,1.02,0.97,0.0515,0.0543,533.400024,514.710022,0.0363,0.028,82.57,81.800003,0.0094,-0.0012,666.043,644.674,0.0331,0.0464,12.85,11.75,0.093617021,-0.121166791,1
5/31/1995,0.049,6.284,7.055,-0.1093,-0.0196,1.73,1.57,0.1019,0.0195,1.13,1.02,0.1078,0.0515,544.75,533.400024,0.0213,0.0363,81.580002,82.57,-0.012,0.0094,670.635,666.043,0.0069,0.0331,11.38,12.85,-0.114396887,0.093617021,1
6/30/1995,0.01,6.203,6.284,-0.0129,-0.1093,1.76,1.73,0.0173,0.1019,1.13,1.13,0,0.1078,562.059998,544.75,0.0318,0.0213,81.57,81.580002,-0.0001,-0.012,669.317,670.635,-0.002,0.0069,13.49,11.38,0.185413005,-0.114396887,1
7/31/1995,0.04,6.426,6.203,0.036,-0.0129,1.7,1.76,-0.0341,0.0173,1.08,1.13,-0.0442,0,561.880005,562.059998,-0.0003,0.0318,85.57,81.57,0.049,-0.0001,701.687,669.317,0.0484,-0.002,11.52,13.49,-0.146034099,0.185413005,1
8/31/1995,0.027,6.284,6.426,-0.0221,0.036,1.73,1.7,0.0176,-0.0341,1.12,1.08,0.037,-0.0442,584.409973,561.880005,0.0401,-0.0003,84.290001,85.57,-0.015,0.049,684.957,701.687,-0.0238,0.0484,12.74,11.52,0.105902778,-0.146034099,1
9/29/1995,0.066,6.182,6.284,-0.0162,-0.0221,1.71,1.73,-0.0116,0.0176,1.08,1.12,-0.0357,0.037,581.5,584.409973,-0.005,0.0401,83.660004,84.290001,-0.0075,-0.015,703.797,684.957,0.0275,-0.0238,13.83,12.74,0.0855573,0.105902778,1
10/31/1995,0.03,6.02,6.182,-0.0262,-0.0162,1.75,1.71,0.0234,-0.0116,1.09,1.08,0.0093,-0.0357,605.369995,581.5,0.041,-0.005,85.260002,83.660004,0.0191,-0.0075,691.604,703.797,-0.0173,0.0275,11.58,13.83,-0.162689805,0.0855573,1
11/30/1995,0.028,5.741,6.02,-0.0463,-0.0262,1.78,1.75,0.0171,0.0234,1.11,1.09,0.0183,0.0093,615.929993,605.369995,0.0174,0.041,84.760002,85.260002,-0.0059,0.0191,714.509,691.604,0.0331,-0.0173,12.52,11.58,0.081174439,-0.162689805,1
12/29/1995,0.034,5.572,5.741,-0.0294,-0.0463,1.82,1.78,0.0225,0.0171,1.16,1.11,0.045,0.0183,636.02002,615.929993,0.0326,0.0174,87.379997,84.760002,0.0309,-0.0059,734.28,714.509,0.0277,0.0331,12.53,12.52,0.000798722,0.081174439,1
1/31/1996,0.062,5.58,5.572,0.0014,-0.0294,1.82,1.82,0,0.0225,1.18,1.16,0.0172,0.045,640.429993,636.02002,0.0069,0.0326,86.290001,87.379997,-0.0125,0.0309,746.451,734.28,0.0166,0.0277,17.04,12.53,0.359936233,0.000798722,1
2/29/1996,0.032,6.098,5.58,0.0928,0.0014,1.76,1.82,-0.033,0,1.08,1.18,-0.0847,0.0172,645.5,640.429993,0.0079,0.0069,86.519997,86.290001,0.0027,-0.0125,749.857,746.451,0.0046,0.0166,18.88,17.04,0.107981097,0.359936233,1
3/29/1996,0.011,6.327,6.098,0.0376,0.0928,1.68,1.76,-0.0455,-0.033,0.99,1.08,-0.0833,-0.0847,654.169983,645.5,0.0134,0.0079,88.019997,86.519997,0.0173,0.0027,761.184,749.857,0.0151,0.0046,15.83,18.88,-0.161546566,0.107981097,1
4/30/1996,0.081,6.67,6.327,0.0542,0.0376,1.56,1.68,-0.0714,-0.0455,0.88,0.99,-0.1111,-0.0833,669.119995,654.169983,0.0229,0.0134,87.779999,88.019997,-0.0027,0.0173,777.929,761.184,0.022,0.0151,16.07,15.83,0.015161087,-0.161546566,1
5/31/1996,0.014,6.852,6.67,0.0273,0.0542,1.49,1.56,-0.0449,-0.0714,0.8,0.88,-0.0909,-0.1111,670.630005,669.119995,0.0023,0.0229,87.82,87.779999,0.0005,-0.0027,777.437,777.929,-0.0006,0.022,13.68,16.07,-0.148724331,0.015161087,1
6/28/1996,0.053,6.711,6.852,-0.0206,0.0273,1.48,1.49,-0.0067,-0.0449,0.78,0.8,-0.025,-0.0909,639.950012,670.630005,-0.0457,0.0023,85.900002,87.82,-0.0219,0.0005,780.202,777.437,0.0036,-0.0006,19.46,13.68,0.422514547,-0.148724331,1
7/31/1996,0.011,6.794,6.711,0.0124,-0.0206,1.54,1.48,0.0405,-0.0067,0.82,0.78,0.0513,-0.025,651.98999,639.950012,0.0188,-0.0457,86.360001,85.900002,0.0054,-0.0219,751.451,780.202,-0.0369,0.0036,17.01,19.46,-0.125899236,0.422514547,1
8/30/1996,-0.002,6.943,6.794,0.0219,0.0124,1.52,1.54,-0.013,0.0405,0.83,0.82,0.0122,0.0513,687.330017,651.98999,0.0542,0.0188,87.940002,86.360001,0.0183,0.0054,758.902,751.451,0.0099,-0.0369,16.95,17.01,-0.003527278,-0.125899236,0
9/30/1996,0.057,6.703,6.943,-0.0346,0.0219,1.54,1.52,0.0132,-0.013,0.86,0.83,0.0361,0.0122,705.27002,687.330017,0.0261,0.0542,87.43,87.940002,-0.0058,0.0183,787.436,758.902,0.0376,0.0099,18.11,16.95,0.068436574,-0.003527278,1
10/31/1996,-0.006,6.339,6.703,-0.0543,-0.0346,1.59,1.54,0.0325,0.0132,0.9,0.86,0.0465,0.0361,757.02002,705.27002,0.0734,0.0261,87.919998,87.43,0.0056,-0.0058,791.751,787.436,0.0055,0.0376,17.14,18.11,-0.053561676,0.068436574,0
11/29/1996,0.011,6.044,6.339,-0.0465,-0.0543,1.59,1.59,0,0.0325,0.9,0.9,0,0.0465,740.73999,757.02002,-0.0215,0.0734,88.18,87.919998,0.003,0.0056,834.929,791.751,0.0545,0.0055,20.92,17.14,0.220536827,-0.053561676,1
12/31/1996,0.029,6.418,6.044,0.0619,-0.0465,1.51,1.59,-0.0503,0,0.84,0.9,-0.0667,0,786.159973,740.73999,0.0613,-0.0215,93.040001,88.18,0.0551,0.003,820.362,834.929,-0.0174,0.0545,19.47,20.92,-0.069311711,0.220536827,1
1/31/1997,0.042,6.494,6.418,0.0118,0.0619,1.52,1.51,0.0066,-0.0503,0.89,0.84,0.0595,-0.0667,790.820007,786.159973,0.0059,0.0613,94.889999,93.040001,0.0199,0.0551,829.082,820.362,0.0106,-0.0174,21.1,19.47,0.083718597,-0.069311711,1
2/28/1997,0.005,6.552,6.494,0.0089,0.0118,1.49,1.52,-0.0197,0.0066,0.86,0.89,-0.0337,0.0595,757.119995,790.820007,-0.0426,0.0059,94.720001,94.889999,-0.0018,0.0199,837.44,829.082,0.0101,0.0106,22.14,21.1,0.049289052,0.083718597,1
3/31/1997,0.016,6.903,6.552,0.0536,0.0089,1.45,1.49,-0.0268,-0.0197,0.84,0.86,-0.0233,-0.0337,801.340027,757.119995,0.0584,-0.0426,97.18,94.720001,0.026,-0.0018,819.678,837.44,-0.0212,0.0101,20.06,22.14,-0.09394761,0.049289052,1
4/30/1997,0.01,6.718,6.903,-0.0268,0.0536,1.49,1.45,0.0276,-0.0268,0.87,0.84,0.0357,-0.0233,848.280029,801.340027,0.0586,0.0584,94.849998,97.18,-0.024,0.026,845.281,819.678,0.0312,-0.0212,19.19,20.06,-0.043369793,-0.09394761,1
5/30/1997,0.032,6.659,6.718,-0.0088,-0.0268,1.53,1.49,0.0268,0.0276,0.92,0.87,0.0575,0.0357,885.140015,848.280029,0.0435,0.0586,95.669998,94.849998,0.0086,-0.024,896.244,845.281,0.0603,0.0312,21.53,19.19,0.121938503,-0.043369793,1
6/30/1997,-0.014,6.5,6.659,-0.0239,-0.0088,1.53,1.53,0,0.0268,0.92,0.92,0,0.0575,954.309998,885.140015,0.0781,0.0435,99.639999,95.669998,0.0415,0.0086,939.746,896.244,0.0485,0.0603,21.48,21.53,-0.002322387,0.121938503,0
7/31/1997,0.01,6.011,6.5,-0.0752,-0.0239,1.52,1.53,-0.0065,0,0.92,0.92,0,0,899.469971,954.309998,-0.0575,0.0781,99,99.639999,-0.0064,0.0415,981.845,939.746,0.0448,0.0485,24.76,21.48,0.152700186,-0.002322387,1
8/29/1997,0.007,6.339,6.011,0.0546,-0.0752,1.49,1.52,-0.0197,-0.0065,0.94,0.92,0.0217,0,947.280029,899.469971,0.0532,-0.0575,97.110001,99,-0.0191,-0.0064,914.974,981.845,-0.0681,0.0448,22.91,24.76,-0.074717286,0.152700186,1
9/30/1997,0.035,6.103,6.339,-0.0372,0.0546,1.54,1.49,0.0336,-0.0197,0.97,0.94,0.0319,0.0217,914.619995,947.280029,-0.0345,0.0532,95.639999,97.110001,-0.0151,-0.0191,963.489,914.974,0.053,-0.0681,35.09,22.91,0.53164557,-0.074717286,1
10/31/1997,0.003,5.831,6.103,-0.0446,-0.0372,1.54,1.54,0,0.0336,0.99,0.97,0.0206,0.0319,955.400024,914.619995,0.0446,-0.0345,97.790001,95.639999,0.0225,-0.0151,911.569,963.489,-0.0539,0.053,27.43,35.09,-0.218295811,0.53164557,1
11/28/1997,-0.008,5.874,5.831,0.0074,-0.0446,1.51,1.54,-0.0195,0,0.95,0.99,-0.0404,0.0206,970.429993,955.400024,0.0157,0.0446,99.650002,97.790001,0.019,0.0225,926.496,911.569,0.0164,-0.0539,24.01,27.43,-0.124681006,-0.218295811,0
12/31/1997,0.024,5.742,5.874,-0.0225,0.0074,1.65,1.51,0.0927,-0.0195,1.07,0.95,0.1263,-0.0404,980.280029,970.429993,0.0102,0.0157,100.790001,99.650002,0.0114,0.019,936.591,926.496,0.0109,0.0164,21.47,24.01,-0.105789296,-0.124681006,1
1/30/1998,-0.018,5.505,5.742,-0.0413,-0.0225,1.68,1.65,0.0182,0.0927,1.1,1.07,0.028,0.1263,1049.339966,980.280029,0.0704,0.0102,99.82,100.790001,-0.0096,0.0114,961.488,936.591,0.0266,0.0109,18.55,21.47,-0.136003732,-0.105789296,0
2/27/1998,0.012,5.622,5.505,0.0213,-0.0413,1.67,1.68,-0.006,0.0182,1.07,1.1,-0.0273,0.028,1101.75,1049.339966,0.0499,0.0704,101.5,99.82,0.0168,-0.0096,"1,025.30",961.488,0.0664,0.0266,24.22,18.55,0.305660394,-0.136003732,1
3/31/1998,-0.003,5.654,5.622,0.0057,0.0213,1.69,1.67,0.012,-0.006,1.05,1.07,-0.0187,-0.0273,1111.75,1101.75,0.0091,0.0499,99.709999,101.5,-0.0176,0.0168,"1,067.35","1,025.30",0.041,0.0664,21.18,24.22,-0.125516066,0.305660394,0
4/30/1998,0.019,5.671,5.654,0.003,0.0057,1.65,1.69,-0.0237,0.012,1.04,1.05,-0.0095,-0.0187,1090.819946,1111.75,-0.0188,0.0091,100.449997,99.709999,0.0074,-0.0176,"1,076.53","1,067.35",0.0086,0.041,21.32,21.18,0.006610009,-0.125516066,1
5/29/1998,-0.064,5.552,5.671,-0.021,0.003,1.63,1.65,-0.0121,-0.0237,1.03,1.04,-0.0096,-0.0095,1133.839966,1090.819946,0.0394,-0.0188,101.169998,100.449997,0.0072,0.0074,"1,061.79","1,076.53",-0.0137,0.0086,19.71,21.32,-0.075515994,0.006610009,0
6/30/1998,-0.101,5.446,5.552,-0.0191,-0.021,1.69,1.63,0.0368,-0.0121,1.09,1.03,0.0583,-0.0096,1120.670044,1133.839966,-0.0116,0.0394,101.199997,101.169998,0.0003,0.0072,"1,085.74","1,061.79",0.0226,-0.0137,24.8,19.71,0.258244559,-0.075515994,0
7/31/1998,0,5.494,5.446,0.0088,-0.0191,1.8,1.69,0.0651,0.0368,1.18,1.09,0.0826,0.0583,957.280029,1120.670044,-0.1458,-0.0116,100.199997,101.199997,-0.0099,0.0003,"1,082.74","1,085.74",-0.0028,0.0226,44.28,24.8,0.785483903,0.258244559,1
8/31/1998,-0.42,4.976,5.494,-0.0943,0.0088,2.28,1.8,0.2667,0.0651,1.59,1.18,0.3475,0.0826,1017.01001,957.280029,0.0624,-0.1458,96.169998,100.199997,-0.0402,-0.0099,937.092,"1,082.74",-0.1345,-0.0028,40.95,44.28,-0.075203209,0.785483903,0
9/30/1998,-0.82,4.42,4.976,-0.1117,-0.0943,2.65,2.28,0.1623,0.2667,1.84,1.59,0.1572,0.3475,1098.670044,1017.01001,0.0803,0.0624,93.730003,96.169998,-0.0254,-0.0402,952.393,937.092,0.0163,-0.1345,28.05,40.95,-0.315018356,-0.075203209,0
10/30/1998,-0.05,4.605,4.42,0.0419,-0.1117,2.51,2.65,-0.0528,0.1623,1.58,1.84,-0.1413,0.1572,1163.630005,1098.670044,0.0591,0.0803,96.199997,93.730003,0.0264,-0.0254,"1,037.21",952.393,0.0891,0.0163,26.01,28.05,-0.07272724,-0.315018356,0
11/30/1998,0.2,4.714,4.605,0.0237,0.0419,2.58,2.51,0.0279,-0.0528,1.57,1.58,-0.0063,-0.1413,1229.22998,1163.630005,0.0564,0.0591,94.169998,96.199997,-0.0211,0.0264,"1,097.62","1,037.21",0.0582,0.0891,24.42,26.01,-0.061130334,-0.07272724,1
12/31/1998,-0.015,4.648,4.714,-0.014,0.0237,2.57,2.58,-0.0039,0.0279,1.52,1.57,-0.0318,-0.0063,1279.640015,1229.22998,0.041,0.0564,96.080002,94.169998,0.0203,-0.0211,"1,149.95","1,097.62",0.0477,0.0582,26.25,24.42,0.074938575,-0.061130334,0
1/29/1999,0.02,4.651,4.648,0.0006,-0.014,2.39,2.57,-0.07,-0.0039,1.4,1.52,-0.0789,-0.0318,1238.329956,1279.640015,-0.0323,0.041,98.68,96.080002,0.0271,0.0203,"1,173.84","1,149.95",0.0208,0.0477,27.88,26.25,0.0620952,0.074938575,1
2/26/1999,0.08,5.287,4.651,0.1367,0.0006,2.3,2.39,-0.0377,-0.07,1.39,1.4,-0.0071,-0.0789,1286.369995,1238.329956,0.0388,-0.0323,100.099998,98.68,0.0144,0.0271,"1,141.33","1,173.84",-0.0277,0.0208,23.26,27.88,-0.165710157,0.0620952,1
3/31/1999,0,5.242,5.287,-0.0085,0.1367,2.3,2.3,0,-0.0377,1.46,1.39,0.0504,-0.0071,1335.180054,1286.369995,0.0379,0.0388,101,100.099998,0.009,0.0144,"1,187.55","1,141.33",0.0405,-0.0277,25.07,23.26,0.077815993,-0.165710157,1
4/30/1999,0,5.348,5.242,0.0202,-0.0085,2.18,2.3,-0.0522,0,1.39,1.46,-0.0479,0.0504,1301.839966,1335.180054,-0.025,0.0379,102.510002,101,0.015,0.009,"1,233.06","1,187.55",0.0383,0.0405,25.39,25.07,0.01276422,0.077815993,1
